indicator_id,system,label,dimension,unit,method_note,preferred_sources,access_level,query_templates,extraction_keywords
I_AI_COMPANY_COUNT,I_industry,AI企业数量,产业主体规模,count,按I0/I1/I2企业口径统计；商业数据库导出需留痕。,企查查、天眼查、工商数据、政府重点企业名单,restricted_or_public_lists,{province} {year} 人工智能 企业 数量 | {province} AI 企业 名单 人工智能 {year} | {province} 重点 人工智能 企业 名单,企业 | 人工智能 | 名单 | 数量
I_AI_ENTERPRISE_PATENTS,I_industry,AI企业专利数量,企业创新能力,count,按企业申请人、AI关键词和年份统计。,国家知识产权局、专利数据库、企业年报,restricted_or_manual_export,{province} 企业 人工智能 专利 {year} | {province} AI 企业 专利 数量 {year},专利 | 企业 | 人工智能 | 机器学习 | 深度学习
I_TECH_CONTRACT,I_industry,技术合同成交额,成果转化活跃度,亿元,若无法分离AI口径，可先用地区技术合同成交额作为成果转化环境。,科技统计公报、科技厅、统计年鉴,public,{province} {year} 技术合同成交额 | {province} {year} 技术市场 成交额 科技统计公报,技术合同成交额 | 技术市场 | 成交额
I_AI_JOBS,I_industry,AI岗位数量,产业人才需求,count,招聘平台数据存在样本偏差；建议作为增强变量或稳健性变量。,BOSS直聘、智联招聘、猎聘、公开岗位页,platform_limited,{province} {year} 人工智能 岗位 数量 招聘 | {province} AI 工程师 招聘 {year},招聘 | 岗位 | 人工智能 | 算法工程师 | 机器学习
I_AI_SCENARIOS,I_industry,AI应用示范项目/场景数量,应用落地,count,统计工信、发改、科技部门公布的AI应用场景、示范项目。,工信部、发改委、科技厅、工信厅,public,{province} {year} 人工智能 应用场景 示范项目 | {province} {year} AI 应用场景 清单,应用场景 | 示范项目 | 人工智能 | 清单
S_SERVICE_AI_INTENSITY,S_mechanism,第三产业AI应用强度,产业吸纳机制,ratio,增强变量；可用第三产业AI企业/岗位/专利/融资事件占全部AI对应数量之比。,企业库、招聘平台、专利库、融资数据库,derived_from_ai_records,{province} {year} 第三产业 人工智能 应用 企业 岗位 | {province} {year} 服务业 人工智能 应用 金融 医疗 教育 政务,第三产业 | 服务业 | 人工智能 | 应用
C_GDP_PER_CAPITA,C_control,人均GDP,经济发展水平,元/人,控制变量。,国家统计局、统计年鉴、统计公报,public,{province} {year} 人均GDP 统计公报 | {province} {year} 人均地区生产总值,人均GDP | 人均地区生产总值
C_INDUSTRY_STRUCTURE,C_control,第二产业/第三产业占比,产业基础,%,控制变量；可拆为制造业占比、二产占比、三产占比。,国家统计局、统计年鉴、统计公报,public,{province} {year} 第二产业 第三产业 占比 统计公报 | {province} {year} 三次产业结构 统计年鉴,第二产业 | 第三产业 | 产业结构 | 占比
C_SCI_TECH_FISCAL,C_control,科技财政支出/GDP,政府科技投入,%,控制变量；科技支出除以GDP。,财政年鉴、统计年鉴、财政厅,public,{province} {year} 科学技术支出 GDP 财政 | {province} {year} 科技财政支出 统计年鉴,科学技术支出 | 科技支出 | 财政
C_DIGITAL_INFRA,C_control,数字基础设施,数字基础,count_or_index,宽带用户、移动互联网用户、5G基站、算力中心等可择一或组合。,通信管理局、统计年鉴、工信厅,public,{province} {year} 互联网宽带用户 移动互联网用户 统计 | {province} {year} 5G基站 数字基础设施,宽带用户 | 移动互联网 | 5G基站 | 数字基础设施
C_URBANIZATION,C_control,城镇化率,城镇化水平,%,控制变量。,国家统计局、统计年鉴、统计公报,public,{province} {year} 城镇化率 统计公报 | {province} {year} 常住人口城镇化率,城镇化率 | 常住人口城镇化率
