system,indicator_code,indicator_name,scope_level,province,city,school,year,value,unit,source_id,collection_method,confidence,needs_manual_review,notes,_agent_dir
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2022,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2023,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2024,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2025,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段未定位到2025年度教育部正式结果需后续核验,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2018,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2019,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2020,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2021,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2022,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2023,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2024,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2025,,所,SRC_E2_METHOD_XLSX,当前阶段未定位到2025年度教育部正式结果需后续核验,低,是,未核验数值不可进入模型,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2018,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2019,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2020,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2021,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2022,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2023,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2024,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2025,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2018,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2019,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2020,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2021,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2022,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2023,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2024,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2025,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2018,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2019,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2020,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2021,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2022,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2023,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2024,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2025,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2018,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2019,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2020,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2021,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2022,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2023,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2024,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2025,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核,E2_base
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2020,2,当年教育部备案/审批记录中的专业点,MOE_2020_UNDERGRAD_MAJOR_RESULT,教育部2020年度本科专业备案和审批结果xls；已筛选主管部门名称=福建省，匹配支撑专业清单（计算机科学与技术、软件工程、自动化、电子信息、物联网工程、网络工程）。,A,否,当前值只代表2020年度教育部备案/审批结果中的新增/审批记录，不代表福建省高校存量开设专业总数；匹配到武夷学院、闽南师范大学的计算机科学与技术（二学位）2条。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2018,,当年教育部备案/审批记录中的专业点,MOE_2018_UNDERGRAD_MAJOR_RESULT,已下载教育部2018年度本科专业备案和审批结果docx原件，尚未完成福建省支撑专业全量抽取。,A,是,需继续从docx表格中按福建省段和支撑专业清单抽取；不得将未核验结果填入。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2019,,当年教育部备案/审批记录中的专业点,MOE_2019_UNDERGRAD_MAJOR_RESULT,已下载教育部2019年度本科专业备案和审批结果pdf原件，但当前阶段未完成可核验文本抽取。,A,是,该pdf本轮文本抽取效果不稳定；需人工OCR或表格化后再计数。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2021,,当年教育部备案/审批记录中的专业点,MOE_2021_UNDERGRAD_MAJOR_RESULT,已下载教育部2021年度本科专业备案和审批结果pdf原件，并定位到福建省段，但尚未形成全量可复核抽取表。,A,是,当前只初步看到福建省段包含仰恩大学物联网工程等支撑专业线索；需完整抽取后再写数值。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2022,,当年教育部备案/审批记录中的专业点,MOE_2022_UNDERGRAD_MAJOR_RESULT,已下载教育部2022年度本科专业备案和审批结果pdf原件，并定位到福建省段，但尚未形成全量可复核抽取表。,A,是,当前未完成对福建省段的支撑专业清单匹配复核；留空。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2023,,当年教育部备案/审批记录中的专业点,MOE_2023_UNDERGRAD_MAJOR_RESULT,已下载教育部2023年度本科专业备案和审批结果pdf原件，并定位到福建省段，但尚未形成全量可复核抽取表。,A,是,当前未完成对福建省段的支撑专业清单匹配复核；留空。,E3_broad
E,E3_SUPPORT_MAJOR_COUNT,AI支撑专业数量,扩大口径,福建省,,福建全省,2024,,当年教育部备案/审批记录中的专业点,MOE_2024_UNDERGRAD_MAJOR_RESULT,已下载教育部2024年度本科专业备案和审批结果pdf原件，并定位到福建省段，但尚未形成全量可复核抽取表。,A,是,当前只初步看到福建省段包含厦门工学院软件工程、泉州信息工程学院自动化等支撑专业线索；需完整抽取后再写数值。,E3_broad
E,E3_AI_X_COURSE_COUNT,AI+X课程/通识课程数量,扩大口径,福建省,,福建全省,2018-2025,,门/项,NO_AUTOMATED_SOURCE_CURRENT_STAGE,当前阶段未采集高校教务处、课程中心或培养方案全量数据。,待定,是,该指标公开来源分散，适合逐校下载培养方案或课程中心数据；本阶段不得用新闻或第三方汇总替代。,E3_broad
E,E3_AI_COMPETITION_BASE,AI竞赛/创新实践基地数量,扩大口径,福建省,,福建全省,2018-2025,,个/项,NO_AUTOMATED_SOURCE_CURRENT_STAGE,当前阶段未采集省教育厅竞赛名单、赛事官网或高校创新创业基地名单。,待定,是,需以省教育厅竞赛/基地公示、赛事官方名单或高校创新创业学院官网为准；涉及企业赞助时只计基地/项目，不计资金。,E3_broad
E,E3_UNIV_AI_PUBLICATION,高校AI论文数量,扩大口径/知识产出,福建省,,福建全省,2018-2025,,篇,DB_EXPORT_REQUIRED_PUBLICATION,当前阶段未接入CNKI/WoS/Scopus或高校科研统计导出。,待定,是,必须数据库检索/导出后按高校作者单位、年份和AI关键词计数；知识产出属性较强，建议单列或用于拓展机制，不宜与专业数简单相加。,E3_broad
E,E3_UNIV_AI_PATENT,高校AI专利数量,扩大口径/知识产出,福建省,,福建全省,2018-2025,,件,DB_EXPORT_REQUIRED_PATENT,当前阶段未接入国家知识产权局批量检索、Incopat、智慧芽或高校知识产权平台导出。,待定,是,必须按申请人类型=高校、申请年份、AI关键词/分类号检索；高校专利归E拓展，企业专利归I，避免重复。,E3_broad
